timestamp,speaker,words,tags,highlight,timelink
,Stuart Yeager, What I've been doing is starting out these histories byfilling you in on some of the events that took place as you came into Grinnell the first couple of years on the national scene to kind of reorient you with---it's been quite a while so I want to remind you of what types of things were going on at the time. It might help you to remember a little bit more about Grinnell itself‚ the contrast of what was going on and what was going on at Grinnell. In 1961‚ Martin Luther King was beginning to organize freedom rides. Equal opportunity practices were being urged-just the beginnings of civil rights activities--not anything that really caught the media's attention until a little bit later on. We had violence going on in the south--resistance to voter registration. Very few blacks were--were you involved in the ROTC?,,,
,Randall Morgan, Yes. The first year I was in ROTC. ,,,
,Yeager, Because at the time the percentage of Negro officers was very‚ very scant. In the army 3.2% were officers; air force‚ 1.2%; navy‚ .3%; and marine‚ .2%. This had a lot of effect on people especially when the draft started. Why don't I begin by asking you some questions about your background‚ your family background before you came to Grinnell and how you decided to come to Grinnell. First‚ can you tell me a little bit about your parents' background‚ their education‚ the nature of your home town‚ the nature of your high school‚ the religious affiliation of your parents and their political affiliation.,,,
,Morgan, My mother was a graduate of Roosevelt High School in Gary and she was salutatorian. She graduated in 1936‚and she went to Fisk University for two years in Nashville‚ Tennesse and then the last two years she went to the University of Michigan and got her degree and started a career teaching and met my father in Columbia‚ South Carolina just before World War II. They were teaching at Booker T. Washington High School which was a very outstanding black high school. It was sort of a magnet school for black teachers all over the country at that point in time. My father was from Natchez‚ Mississippi‚ and finished high school in 1934‚ I think‚ and went to Rust College in Holly Springs‚ Mississippi‚ for two years and then transferred and graduated from Northwestern in Chicago. He then went to teach also until the war‚ I think in 1941. He went through officer candidate school and became a lieutenant and captain and eventually a major. He was a company commander of his unit in the Philippines. He was in the Philippines‚ I think‚ for well over two years. ,,,,,,
,Yeager, Was this an all black unit or was it intergrated?,,,
,Morgan, It was an all black unit as far as I know. And then‚ as far as graduate work: My mother has her masters now. She spent the early part of her career in social work‚ in Gary‚ and then from 1952 until about 1979‚ she was teaching in the public schools. She got her masters in education several years ago. My father was with the veterans' administration in Gary after the war from 1946 in which he worked with veteran placement both white and black in terms of jobs and education all over the Gary area‚ the northwest Indiana area. He went into business from himself in 1950‚ the drug business. He had two drug stores and helped to develop a medical center in Gary‚ and then got into medical group management. When I went back to Gary to practice‚ he then began to manage my practice‚ and we have a building now that he owns and runs‚ and I have my office in that building. ,,,
,Yeager, Can you tell me something about Gary itself‚ your neighborhood in Gary and the high school you went to?,,,
,Morgan, Gary was a sort of a neighborhood‚ segregated city. At the time I was growing up‚ I think there was a range from 135‚000 to 160‚000 of which the percentage of blacks was 33%. It subsequently has changed during the time I was in college and graduate school to where it's now probably 70% black. The school I went to was Roosevelt High School. It was another of these so-called magnet black schools and had a very rich tradition and strong faculty. I cannot remember being in a class with a nonblack until I came to Grinnell. I finished in 1961‚ and I was co-valedictorian of the class. I was involved in lots of activities in the high school among which were sports--basketball and baseball; music--I was first clarinetist in the band and the orchestra; science club; science fair; some aspects of student government; and the year book staff. There were also a number of activities in Gary at that time which were city-wide activities which did allow interchange in competition with some of the other students in the high schools. At the time my school was the only school that had a totally black student body out of eight high schools. Now that's almost totally different. But we were in certain things such as the city-wide band and the orchestra and the Joe Berg scholar group‚ which was an advanced study group for certain high school students‚ the high school ffurnmer institute of the National Science Foundation in Bloomington‚ Indiana‚ Hoosier Boys' State‚ AOA‚ Scouts and other activities‚ in which there was a much more integrated experience.  ,,,
,Yeager, So when you came to Grinnell you had had some exposure to white students?,,,
,Morgan, Yes‚ I had had some‚ and particularly with the so-called cream of the crop‚ I guess‚ in the Gary public school area. ,,,
,Yeager, Can you tell me a little about your religious affiliation and your parents' political affiliation?,,,
,Morgan, Well‚ as far as I can remember‚ my family has always been Methodist. Both my mother and my father were raised in the Methodist Church. My father's father was a Methodist minister and district superintendent in Mississippi so that they were very strongly Methodist. And my father‚ his sister and brother all went to Northwestern which at that time had a strong Methodist affiliation. My mother‚ likewise‚ was raised in the Methodist Church. The church in which I spent my formative years was the Methodist Church in Gary called Delaney Methodist Church‚ which was a small church made up of a group of families. Probably‚ they got together in the '3O's. And the generations just carried the church along. It was not a real big church‚ but it was what you'd call a definite Methodist Church‚ not a AME or a CIVIE or one of the other derivativ€S of the Methodist Church. And I have remained a Methodist though my interest somewhat waned as most college students. But I did attend the chapel on a regular basis when I came to Grinnell and when I was in professional school. Presently‚ I'm attending another Methodist Church in Gary which is an integrated church which is in my neighborhod. As far as my parents' political affiliation‚ they've always been Democrats as far as I can remember. I can remember them voting for Harry Truman in 1948. At that time I was in kindergarten. But they are both very apolitical in terms of being vocal in the community. ,,,
,Yeager, How did you choose Grinnell and what were your friends' reactions to your choosing Grinnell? Your parents' reactions?,,,
,Morgan, My parents helped to choose Grinnell because I had a cousin‚ Alphanette White‚ who graduated from Grinnell in 1957‚ and I had heard about Grinnell through her and my aunt. My parents came up to her graduation and were impressed with the school so it was sort of always presented to me as I matriculated in high school. But I didn't come to see the college until I was a prospective student in March of my senior year in high school. At that point I had applied to four schools: Grinnell‚ Oberlin‚ the University of Wisconsin and the University of Michigan‚ two big and two small. Grinnell was the first one I visited‚and I had some very positive experiences when I came on my prospective visit. And I decided not to look at any more. I decided to go to Grinnell. There were many people from Chicago whom I knew or had known of such as Jim Lowrey and Jim Simmons‚ George Gray and the late Mickey Clark. Then there was Bill Lighi:rfoote from Tuskegee‚ Alabama‚ who was at Grinnell as a sophomore student. And I had the opportunity to meet a lot of these people. ,,,
,Yeager, How did you meet this group? How did you know these people ahead of time? Morgen: Well‚ some of them I knew through my family. My uncle and my cousins over in Chicago were sort of in the same social set? My cousins both went to Francis Parker High School in Chicago whichfor years has supplied black students to Grinnell. It's sort of a Grinnell tradition‚ black and white students‚ so that you would sort of hear about Grinnell in that circle. I don't remember any of the traditional ways of learning about the college‚ such as picking up a handbook and seeing the college or a college fair. They didn't have those in those days. ,,,
,Yeager, You weren't actively recruited.,,,
,Morgan, No. I don't think I was actively recruited. ,,,
,Yeager, When you arrived at Grinnell what types of goals did you set for yourself? Did you have any occupational goals? Or any other types of goals?,,,
,Morgan, I had just about decided to be a physician at that point based upon experiences that I had the summer before my senior year in high school at the National Science Foundation summer institute in Bloomington‚ Indiana. We had visited the medical school in Indianapolis‚ and I felt that medium was a good combination of my interests. Heretofore‚ I had not been able to really come down to a definite occupation. It was sort of a tentative choice based upon how I did the first two years at Grinnell‚ but I think I can remember indicating that I was a pre-med from the time I entered Grinnell and in terms of specific majors‚ I think I had an inkling towards chemistry instead of biology. And then as I started taking more courses‚ I became more interested in the chemistry curriculum and the department. During my sophomore year is when I definitely decided to go into medicine and to major in chemistry. ,,,
,Yeager, As a student what were your primary concerns? What were you thinking about? What was important to you at that time?,,,
,Morgan, Well‚ the most important thing was to be academically successful. I didn't know quite where I fit in‚ but I knew that I certainly wasn't the brightest student at Grinnell‚ so it wasn't a shock to me when I found out that I wasn't. I guess I had enough confidence in myself‚ based upon other experiences‚ that I felt that I could compete‚ whatever the ground rules were‚ I could play the game. I wasn't sure how the game was going to go‚ but I didn't really have any serious doubts as to whether I was going to make it. And I think it was reasonably important for me to know people and to feel a part of my environment. I was not a loner. It was probably a sort of a 'rebound phenomenon' from being an only child‚ I've always been reasonably outgoing‚ know people‚ remember names‚ make association between people‚ and be fairly sociable‚ so that I didn't realiy have a socialization process to go through when I came to Grinnell. And then I was fortunate to be able to have a skeleton of people that I knew or I knew of from which I could jump from one to the other from the familiar all the time familiarizing myself with more people around me. But there were no organizations or clubs or houses or anything that were there to support me. ,,,
,Yeager, I'm interested in knowing since you lived in Gary all your life‚ was it difficult for you to adjust to a rural setting like Grinnell?,,,
